demand_type,contribution_type,item,variant_id,units,value,source_field_id,source_label,excel_row
cooling,limit,demand_limit,ph_assemblies,kWh,5869.812628,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,airtightness_erv,kWh,3249.7133318,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,airtightness_erv,kWh,357.33316293,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,airtightness_erv,kWh,889.126237469,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,airtightness_erv,kWh,903.346841924,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,airtightness_erv,kWh,8106.239693,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,airtightness_erv,kWh,2745.65149975,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,airtightness_erv,kWh,4056.62149922,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,airtightness_erv,kWh,9581.00144367,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,airtightness_erv,kWh,1357.3978936,heating_demand.north,North,390
heating,gain,east,airtightness_erv,kWh,0,heating_demand.east,East,391
heating,gain,south,airtightness_erv,kWh,3547.82398146,heating_demand.south,South,392
heating,gain,west,airtightness_erv,kWh,1344.08788247,heating_demand.west,West,393
heating,gain,horizontal,airtightness_erv,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,airtightness_erv,kWh,1108.70505504,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,airtightness_erv,kWh,4784.6480761,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,airtightness_erv,kWh,7337.265785,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,airtightness_erv,kWh,3397.79228385,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,airtightness_erv,kWh,2123.2824628,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,walls_bg,airtightness_erv,kWh,392.516802539,cooling_demand.walls_bg,Walls (BG),401
cooling,loss,roofs,airtightness_erv,kWh,580.933133013,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,airtightness_erv,kWh,992.291930221,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,airtightness_erv,kWh,5296.41689037,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,airtightness_erv,kWh,1793.9409059,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,airtightness_erv,kWh,3443.06229552,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,airtightness_erv,kWh,0,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,airtightness_erv,kWh,1186.83185659,cooling_demand.north,North,414
cooling,gain,east,airtightness_erv,kWh,0,cooling_demand.east,East,415
cooling,gain,south,airtightness_erv,kWh,3185.62045004,cooling_demand.south,South,416
cooling,gain,west,airtightness_erv,kWh,1524.75670301,cooling_demand.west,West,417
cooling,gain,horizontal,airtightness_erv,kWh,0,cooling_demand.horizontal,Horizontal,418
cooling,gain,sum_opaque_areas,airtightness_erv,kWh,1378.92792372,cooling_demand.sum_opaque_areas,Sum opaque areas,419
cooling,gain,internal_gains,airtightness_erv,kWh,5139.2595248,cooling_demand.internal_gains,Internal Gains,420
cooling,limit,demand_limit,airtightness_erv,kWh,5869.812628,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,ph_windows,kWh,3148.65290192,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,ph_windows,kWh,301.270450766,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,ph_windows,kWh,861.47595863,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,ph_windows,kWh,761.618955355,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,ph_windows,kWh,3873.1442436,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,ph_windows,kWh,1864.06541566,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,ph_windows,kWh,3930.46762942,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,ph_windows,kWh,5428.9552298,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,ph_windows,kWh,1050.55559779,heating_demand.north,North,390
heating,gain,east,ph_windows,kWh,0,heating_demand.east,East,391
heating,gain,south,ph_windows,kWh,3152.31543542,heating_demand.south,South,392
heating,gain,west,ph_windows,kWh,1136.16814766,heating_demand.west,West,393
heating,gain,horizontal,ph_windows,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,ph_windows,kWh,791.345704738,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,ph_windows,kWh,4174.26087298,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,ph_windows,kWh,7337.265785,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,ph_windows,kWh,3593.51022559,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,ph_windows,kWh,1505.12401265,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,walls_bg,ph_windows,kWh,349.039468781,cooling_demand.walls_bg,Walls (BG),401
cooling,loss,roofs,ph_windows,kWh,411.804092749,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,ph_windows,kWh,882.380183371,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,ph_windows,kWh,1851.44650335,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,ph_windows,kWh,891.063481961,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,ph_windows,kWh,3150.73355104,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,ph_windows,kWh,0,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,ph_windows,kWh,1074.09508522,cooling_demand.north,North,414
cooling,gain,east,ph_windows,kWh,0,cooling_demand.east,East,415
cooling,gain,south,ph_windows,kWh,2727.46686991,cooling_demand.south,South,416
cooling,gain,west,ph_windows,kWh,1340.65500005,cooling_demand.west,West,417
cooling,gain,horizontal,ph_windows,kWh,0,cooling_demand.horizontal,Horizontal,418
cooling,gain,sum_opaque_areas,ph_windows,kWh,1050.44286122,cooling_demand.sum_opaque_areas,Sum opaque areas,419
cooling,gain,internal_gains,ph_windows,kWh,4488.98587064,cooling_demand.internal_gains,Internal Gains,420
cooling,limit,demand_limit,ph_windows,kWh,5869.812628,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
