metric,role,variant_id,units,value,source_field_id,source_label,excel_row
total_cooling_demand,limit,ph_windows,kWh,5869.812628,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
peak_heat_load,result,ph_windows,W,6142.90397295,certification_results.peak_heat_load,Peak Heat Load,463
peak_heat_load,limit,ph_windows,W,0,certification_limits.peak_heat_load_limit,Peak Heat Load Limit,367
peak_cooling_load,result,ph_windows,W,4773.71126825,certification_results.peak_cooling_load,Peak Cooling Load,464
peak_cooling_load,limit,ph_windows,W,3240.45035646,certification_limits.peak_cooling_load_limit,Peak Cooling Load Limit,368
pe_demand,result,ph_windows,kWh,29567.9539066,certification_results.pe_demand,PE Demand,465
pe_demand,limit,ph_windows,kWh,0,certification_limits.pe_limit,PE Limit,369
per_demand,result,ph_windows,kWh,13767.9282728,certification_results.per_demand,PER Demand,466
per_demand,limit,ph_windows,kWh,22011.797355,certification_limits.per_limit,PER Limit,370
phius_net_source_energy,limit,ph_windows,kWh,11189.006448,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
