metric_group,end_use,variant_id,units,value,source_field_id,source_label,excel_row
co2e,dhw,code_min,tonsCO2e,0.990552475124,co2e.dhw,DHW,504
co2e,dishwashing,code_min,tonsCO2e,0.0327773905905,co2e.dishwashing,Dishwashing,505
co2e,clothes_washing,code_min,tonsCO2e,0.0188113034217,co2e.clothes_washing,Clothes Washing,506
co2e,clothes_drying,code_min,tonsCO2e,0.0892676757729,co2e.clothes_drying,Clothes Drying,507
co2e,refrigerator,code_min,tonsCO2e,0.128181635568,co2e.refrigerator,Refrigerator,508
co2e,cooking,code_min,tonsCO2e,0.117547683501,co2e.cooking,Cooking,509
co2e,phi_lighting,code_min,tonsCO2e,0.0568742711852,co2e.phi_lighting,PHI Lighting,510
co2e,phi_consumer_elec,code_min,tonsCO2e,0.176336663529,co2e.phi_consumer_elec,PHI Consumer Elec.,511
co2e,phi_small_appliances,code_min,tonsCO2e,0.0189467159492,co2e.phi_small_appliances,PHI Small Appliances,512
co2e,phius_int_lighting,code_min,tonsCO2e,0,co2e.phius_int_lighting,Phius Int. Lighting,513
co2e,phius_ext_lighting,code_min,tonsCO2e,0,co2e.phius_ext_lighting,Phius Ext. Lighting,514
co2e,phius_mel,code_min,tonsCO2e,0,co2e.phius_mel,Phius MEL,515
co2e,aux_elec,code_min,tonsCO2e,0,co2e.aux_elec,Aux Elec,516
co2e,ipcc_limit,code_min,tonsCO2e,3.2668631965,co2e.ipcc_limit,IPCC Limit,517
phius_net_source_energy,total,code_min,kWh,47219.3660162,primary_energy.*,Primary Energy total,
phius_net_source_energy,limit,code_min,kWh,11189.006448,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
site_energy,heating,ph_assemblies,kWh,9215.71703913,site_energy.heating,Heating,423
site_energy,cooling,ph_assemblies,kWh,2392.1175303,site_energy.cooling,Cooling,424
site_energy,dhw,ph_assemblies,kWh,3423.89130242,site_energy.dhw,DHW,425
site_energy,dishwashing,ph_assemblies,kWh,113.867887278,site_energy.dishwashing,Dishwashing,426
site_energy,clothes_washing,ph_assemblies,kWh,65.3500275336,site_energy.clothes_washing,Clothes Washing,427
site_energy,clothes_drying,ph_assemblies,kWh,310.113815021,site_energy.clothes_drying,Clothes Drying,428
site_energy,refrigerator,ph_assemblies,kWh,445.3,site_energy.refrigerator,Refrigerator,429
site_energy,cooking,ph_assemblies,kWh,408.357899562,site_energy.cooking,Cooking,430
site_energy,phi_lighting,ph_assemblies,kWh,197.579886124,site_energy.phi_lighting,PHI Lighting,431
site_energy,phi_consumer_elec,ph_assemblies,kWh,612.589439363,site_energy.phi_consumer_elec,PHI Consumer Elec.,432
site_energy,phi_small_appliances,ph_assemblies,kWh,65.8204474829,site_energy.phi_small_appliances,PHI Small Appliances,433
site_energy,phius_int_lighting,ph_assemblies,kWh,0,site_energy.phius_int_lighting,Phius Int. Lighting,434
site_energy,phius_ext_lighting,ph_assemblies,kWh,0,site_energy.phius_ext_lighting,Phius Ext. Lighting,435
site_energy,phius_mel,ph_assemblies,kWh,0,site_energy.phius_mel,Phius MEL,436
site_energy,aux_elec,ph_assemblies,kWh,0,site_energy.aux_elec,Aux Elec,437
site_energy,solar_pv,ph_assemblies,kWh,0,site_energy.solar_pv,Solar PV,438
primary_energy,heating,ph_assemblies,kWh,23960.8643017,primary_energy.heating,Heating,441
phius_net_source_energy,heating,ph_assemblies,kWh,23960.8643017,primary_energy.heating,Heating,441
primary_energy,cooling,ph_assemblies,kWh,6219.50557879,primary_energy.cooling,Cooling,442
phius_net_source_energy,cooling,ph_assemblies,kWh,6219.50557879,primary_energy.cooling,Cooling,442
primary_energy,dhw,ph_assemblies,kWh,8902.11738629,primary_energy.dhw,DHW,443
phius_net_source_energy,dhw,ph_assemblies,kWh,8902.11738629,primary_energy.dhw,DHW,443
primary_energy,dishwashing,ph_assemblies,kWh,296.056506922,primary_energy.dishwashing,Dishwashing,444
phius_net_source_energy,dishwashing,ph_assemblies,kWh,296.056506922,primary_energy.dishwashing,Dishwashing,444
primary_energy,clothes_washing,ph_assemblies,kWh,169.910071587,primary_energy.clothes_washing,Clothes Washing,445
phius_net_source_energy,clothes_washing,ph_assemblies,kWh,169.910071587,primary_energy.clothes_washing,Clothes Washing,445
primary_energy,clothes_drying,ph_assemblies,kWh,806.295919055,primary_energy.clothes_drying,Clothes Drying,446
phius_net_source_energy,clothes_drying,ph_assemblies,kWh,806.295919055,primary_energy.clothes_drying,Clothes Drying,446
primary_energy,refrigerator,ph_assemblies,kWh,1157.78,primary_energy.refrigerator,Refrigerator,447
phius_net_source_energy,refrigerator,ph_assemblies,kWh,1157.78,primary_energy.refrigerator,Refrigerator,447
primary_energy,cooking,ph_assemblies,kWh,1061.73053886,primary_energy.cooking,Cooking,448
phius_net_source_energy,cooking,ph_assemblies,kWh,1061.73053886,primary_energy.cooking,Cooking,448
primary_energy,phi_lighting,ph_assemblies,kWh,513.707703923,primary_energy.phi_lighting,PHI Lighting,449
phius_net_source_energy,phi_lighting,ph_assemblies,kWh,513.707703923,primary_energy.phi_lighting,PHI Lighting,449
primary_energy,phi_consumer_elec,ph_assemblies,kWh,1592.73254234,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
phius_net_source_energy,phi_consumer_elec,ph_assemblies,kWh,1592.73254234,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
primary_energy,phi_small_appliances,ph_assemblies,kWh,171.133163455,primary_energy.phi_small_appliances,PHI Small Appliances,451
phius_net_source_energy,phi_small_appliances,ph_assemblies,kWh,171.133163455,primary_energy.phi_small_appliances,PHI Small Appliances,451
primary_energy,phius_int_lighting,ph_assemblies,kWh,0,primary_energy.phius_int_lighting,Phius Int. Lighting,452
phius_net_source_energy,phius_int_lighting,ph_assemblies,kWh,0,primary_energy.phius_int_lighting,Phius Int. Lighting,452
primary_energy,phius_ext_lighting,ph_assemblies,kWh,0,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
phius_net_source_energy,phius_ext_lighting,ph_assemblies,kWh,0,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
primary_energy,phius_mel,ph_assemblies,kWh,0,primary_energy.phius_mel,Phius MEL,454
phius_net_source_energy,phius_mel,ph_assemblies,kWh,0,primary_energy.phius_mel,Phius MEL,454
primary_energy,aux_elec,ph_assemblies,kWh,0,primary_energy.aux_elec,Aux Elec,455
phius_net_source_energy,aux_elec,ph_assemblies,kWh,0,primary_energy.aux_elec,Aux Elec,455
primary_energy,solar_pv,ph_assemblies,kWh,0,primary_energy.solar_pv,Solar PV,456
phius_net_source_energy,solar_pv,ph_assemblies,kWh,0,primary_energy.solar_pv,Solar PV,456
per,heating,ph_assemblies,kWh,13823.5755587,primary_energy_renewable.heating,Heating,520
per,cooling,ph_assemblies,kWh,3707.78217197,primary_energy_renewable.cooling,Cooling,521
per,dhw,ph_assemblies,kWh,3937.47499778,primary_energy_renewable.dhw,DHW,522
per,dishwashing,ph_assemblies,kWh,136.641464733,primary_energy_renewable.dishwashing,Dishwashing,523
per,clothes_washing,ph_assemblies,kWh,78.4200330403,primary_energy_renewable.clothes_washing,Clothes Washing,524
per,clothes_drying,ph_assemblies,kWh,372.136578026,primary_energy_renewable.clothes_drying,Clothes Drying,525
per,refrigerator,ph_assemblies,kWh,534.36,primary_energy_renewable.refrigerator,Refrigerator,526
per,cooking,ph_assemblies,kWh,490.029479475,primary_energy_renewable.cooking,Cooking,527
per,phi_lighting,ph_assemblies,kWh,237.095863349,primary_energy_renewable.phi_lighting,PHI Lighting,528
per,phi_consumer_elec,ph_assemblies,kWh,735.107327236,primary_energy_renewable.phi_consumer_elec,PHI Consumer Elec.,529
per,phi_small_appliances,ph_assemblies,kWh,78.9845369794,primary_energy_renewable.phi_small_appliances,PHI Small Appliances,530
per,phius_int_lighting,ph_assemblies,kWh,0,primary_energy_renewable.phius_int_lighting,Phius Int. Lighting,531
per,phius_ext_lighting,ph_assemblies,kWh,0,primary_energy_renewable.phius_ext_lighting,Phius Ext. Lighting,532
per,phius_mel,ph_assemblies,kWh,0,primary_energy_renewable.phius_mel,Phius MEL,533
per,aux_elec,ph_assemblies,kWh,0,primary_energy_renewable.aux_elec,Aux Elec,534
per,solar_pv,ph_assemblies,kWh,0,primary_energy_renewable.solar_pv,Solar PV,535
